Year,param(Rainfall),param(TreeRingSize)
1850,852,1.11
1851,1806,0.384
1852,1356,0.615
1853,1233,0.787
1854,1590,0.768
1855,1273,0.774
1856,1770,0.824
1857,1734,0.882
1858,1457,0.913
1859,1357,0.845
1860,1716,0.812
1861,1445,0.786
1862,1468,0.96
1863,1452,0.908
1864,1098,0.955
1865,1238,0.828
1866,2478,0.86
1867,832,0.584
1868,1289,0.894
1869,1470,0.678
1870,1628,0.715
1871,1459,0.688
1872,2256,1.001
1873,2058,1
1874,1487,1.081
1875,1581,1.004
1876,1569,1.166
1877,468,0.45
1878,503,0.718
1879,597,0.67
1880,1539,0.924
1881,1423,0.935
1882,1246,0.974
1883,1508,1.056
1884,1047,1.197
1885,1307,1.109
1886,1399,1.211
1887,1320,1.326
1888,736,1.113
1889,784,1.33
1890,1534,1.299
1891,1077,1.187
1892,1211,1.171
1893,1430,1.271
1894,2505,1.281
1895,2491,1.223
1896,2144,1.168
1897,1839,0.75
1898,863,1.04
1899,2414,0.992
1900,940,1.209
1901,1545,1.139
1902,878,1.4
1903,789,1.397
1904,1136,1.417
1905,1189,1.377
1906,1430,1.075
1907,697,1.514
1908,834,1.339
1909,1015,1.256
1910,2051,1.31
1911,1373,0.641
1912,2446,0.594
1913,1905,0.653
1914,1512,0.901
1915,530,0.995
1916,1328,1.165
1917,2077,0.854
1918,1319,1.03
1919,656,0.814
1920,1847,0.861
1921,2496,0.892
1922,1595,1.014
1923,1513,0.655
1924,1847,0.804
1925,1137,1.122
1926,1571,1.091
1927,1195,0.882
1928,995,1.068
1929,1230,1.33
1930,1107,1.117
1931,1133,1.045
1932,879,1.139
1933,937,1.353
1934,1888,0.939
1935,1661,1.384
1936,820,0.848
1937,1313,0.99
1938,1586,1.144
1939,1911,0.885
1940,1447,0.919
1941,916,1.02
1942,780,1.097
1943,1042,0.894
1944,1090,0.692
1945,1750,0.783
1946,1724,0.927
1947,1726,1.198
1948,1384,1.172
1949,1881,0.986
1950,1114,1.288
1951,747,1.233
1952,1378,1.107
1953,1068,1.075
1954,1032,1.147
1955,1152,0.967
1956,806,1.083
1957,1225,0.74
1958,504,0.548
1959,1493,0.589
1960,1011,0.767
1961,1737,0.497
1962,1258,0.678
1963,2102,0.841
1964,2428,0.689
1965,1630,0.867
1966,1288,0.912
1967,1839,0.739
1968,1385,0.886
1969,1805,0.626
1970,1192,0.785
1971,2093,0.77
1972,1299,0.922
1973,2331,0.837
1974,2512,0.931
